,2000,,2005,,2010,,2015,,
,ISO3,GAUL,ISO3,GAUL,ISO3,GAUL,ISO3,GAUL,
,ARM,13,AGO,8,AFG,1,BIH,34,
,GAB,89,ARM,13,BIH,34,GMB,90,
,KEN,133,BDI,43,CAF,49,KGZ,138,
,LSO,142,COL,57,CIV,66,MLI,155,
,MNG,167,GMB,90,CMR,45,MRT,159,
,RWA,205,KGZ,138,COG,59,NER,181,
,,,MNG,167,MNG,167,NGA,182,
,,,NIC,180,MRT,159,PHL,196,
,,,TUR,249,NPL,175,SEN,217,
,,,TZA,257,SEN,217,TCD,50,
,,,VNM,264,STP,214,,,
,,,,,TLS,242,,,
,,,,,,,,,
TOTAL,2884,,7889,,10761,,12594,,34128
TRUE,2429,,7391,,9430,,10397,,29647
resampled,455,,498,,1331,,2197,,4481
